content_ID,content_name,platform,location,status,content_url,content_image_URL,,,,,,,,,,,,,,,,,,,,,,,,
$100K,"The $100k, 2-hour, Zoom Appreciation Call (ZAC)",KAJABI,LOCATION_LOCATION_BIG_MOJO_LIBRARY,7 - Uploaded to Agent,https://big-mojo.mykajabi.com/products/the-100k-2-hour-zoom-appreciation-call-zac,https://kajabi-storefronts-production.kajabi-cdn.com/kajabi-storefronts-production/site/99924/products/OPhrWf2nRTaeC7JScqTY_The_100k_2-hour_Zoom_Appreciation_Call.png,,,,,,,,,,,,,,,,,,,,,,,,
$1K1D,$1k a Day in 1 Hour a Day,SKOOL,LOCATION_ROYALTY_RONIN_CLASSROOM,7 - Uploaded to Agent,https://www.SKOOL.com/ronin/classroom/7598830d?md=5f9b2280c77f4ff0bd704d456aa53149,,,,,,,,,,,,,,,,,,,,,,,,,
$1KSS,$1k a Day Sales Saver Campaign,SKOOL,LOCATION_ROYALTY_RONIN_CLASSROOM,7 - Uploaded to Agent,https://www.SKOOL.com/ronin/classroom/e2de8f64?md=4eff77384c1242909a53e9289a53c63f,,,,,,,,,,,,,,,,,,,,,,,,,
$1KSS-M01,$1k a Day Sales Saver Campaign,KAJABI,$1KSS,VIDEO,,,,,,,,,,,,,,,,,,,,,,,,,,
24HFA,The 24 Hour Fun Auction,SKOOL,"LOCATION_ROYALTY_RONIN_CLASSROOM, location_ai_royalty_rockstars_classroom",7 - Uploaded to Agent,https://www.SKOOL.com/ronin/classroom/a3d4cdff?md=ae667efed76d4a81a5019593fc72a4a6,,,,,,,,,,,,,,,,,,,,,,,,,
2HC,2nd Helping Campaign,KAJABI,LOCATION_LOCATION_BIG_MOJO_LIBRARY,7 - Uploaded to Agent,https://big-mojo.mykajabi.com/products/2nd-helping-campaign,https://kajabi-storefronts-production.kajabi-cdn.com/kajabi-storefronts-production/site/99924/products/qv8peP6ISTSYiMIXfRnu_file.jpg,,,,,,,,,,,4,,,,,,,TRAVIS_SAGO,,Formatted .md not found in Drive,,,,0
2PG-M01,Welcome and Thank You! - Formatted,KAJABI,2PG,VIDEO,,,,,,,,,,,,,,,,,,,,,,,,,,
2PG-M02,2-Page Google Doc Cash Machine - Formatted,KAJABI,2PG,VIDEO,,,,,,,,,,,,,,,,,,,,,,,,,,
2PG-M03,Buying Frenzy Offer Tool for Non-Creative People - Formatted,KAJABI,2PG,VIDEO,,,,,,,,,,,,,,,,,,,,,,,,,,
2PG-M10,Rebekah's Cold Traffic Case Study - Formatted,KAJABI,2PG,VIDEO,,,,,,,,,,,,,,,,,,,,,,,,,,
2PG-M11,The Hot Button Training - Formatted,KAJABI,2PG,VIDEO,,,,,,,,,,,,,,,,,,,,,,,,,,
3BP,3 Boss Principles - From Neediness to Boldness!,SKOOL,LOCATION_ROYALTY_RONIN_CLASSROOM,7 - Uploaded to Agent,https://www.SKOOL.com/ronin/classroom/ede03ad2?md=4043798d0647490dab571d385f9accf5,,,,,,,,,,,,,,,,,,,,,,,,,
3W5K,3 Ways to Make $5k in 5 Days,KAJABI,LOCATION_LOCATION_BIG_MOJO_LIBRARY,7 - Uploaded to Agent,https://big-mojo.mykajabi.com/products/3-ways-to-make-5k-in-5-days,,,,,,,,,,,,,,,,,,,,,,,,,
6STT,Six-Step Troubleshooting (Technique used by the US Navy),OTHER,LOCATION_OTHER,7 - Uploaded to Agent,,,,,,,,,,,,,,,,,,,,,,,,,,
AMC,Audience Multiplier Campaign,KAJABI,LOCATION_LOCATION_BIG_MOJO_LIBRARY,7 - Uploaded to Agent,https://big-mojo.mykajabi.com/products/audience-multiplier-campaign,https://kajabi-storefronts-production.kajabi-cdn.com/kajabi-storefronts-production/site/99924/products/Mn7dPTc4T9Ckx6uTnh2o_Screenshot_-_7_14_2022_11_16_17_AM.png,,,,,,,,,,,4,,,,,,,TRAVIS_SAGO,,Formatted .md not found in Drive,,,,0
B2P,The Bugatti 2 Page Cash Machine,KAJABI,LOCATION_LOCATION_BIG_MOJO_LIBRARY,7 - Uploaded to Agent,https://big-mojo.mykajabi.com/products/the-bugatti-2-page-cash-machine,https://kajabi-storefronts-production.kajabi-cdn.com/kajabi-storefronts-production/site/99924/products/I6Q4rm7S4qfMUZRtwtP2_15g1P8ISnqeuWD4n8xaf_83afddf5b4e9d75e8144d9bc2e7460a9.jpg,,,,,,,,,,,4,,,,,,,TRAVIS_SAGO,,Formatted .md not found in Drive,,,,0
BDTS,Bottom Dollar Truth Serum + S.A.M.,KAJABI,LOCATION_LOCATION_BIG_MOJO_LIBRARY,7 - Uploaded to Agent,https://big-mojo.mykajabi.com/products/bottom-dollar-truth-serum-s-a-m,https://kajabi-storefronts-production.kajabi-cdn.com/kajabi-storefronts-production/file-uploads/site/99924/products/b6ffd3-3704-850-4edf-a1d83e2f2a5_bdtsplussam.jpg,,,,,,,,,,,4,,,,,,,TRAVIS_SAGO,,Formatted .md not found in Drive,,,,0
BEAM,BEAMER 2.0,KAJABI,LOCATION_LOCATION_BIG_MOJO_LIBRARY,7 - Uploaded to Agent,https://big-mojo.mykajabi.com/products/beamer,https://kajabi-storefronts-production.kajabi-cdn.com/kajabi-storefronts-production/products/413627/images/mLVVn816S06e4uNJdHuO_BEAMER.png,,,,,,,,,,,,,,,,,,,,,,,,
BMOC,Big Money from Old Courses,SKOOL,"LOCATION_ROYALTY_RONIN_CLASSROOM,location_ai_royalty_rockstars_classroom",7 - Uploaded to Agent,"https://www.SKOOL.com/royaltyrockstars/classroom/4f44faa7?md=2b50b21221fa4e058910cd3a7476fae1
",,,,,,,,,,,,,,,,,,,,,,,,,
CDODC,Coffee Dates on Demand - COFFEE,KAJABI,LOCATION_LOCATION_BIG_MOJO_LIBRARY,,,,,,,,,,,,,,,,,,,,,,,,,,,
