content_id,content_name,parent_id,type,platform,content_url,sheets_stage,in_mr_a,mra_chunks,mra_last_updated,action_needed
$1K1D-M01,$1k a Day in 1 Hour a Day VIDEO,$1K1D,VIDEO,KAJABI,,3,YES,44,2026-04-25,Sheets sync only (already in Mr. A)
100K-M01,"The $100k, 2-hour, Zoom Appreciation Call",100K,VIDEO,KAJABI,,3,NO,,,Format + Upload
24HFA-M01,The 24 Hour Fun Auction Part One & Two - VIDEO,24HFA,VIDEO,KAJABI,,3,YES,8,2026-04-25,Sheets sync only (already in Mr. A)
24HFA-M02,$100k Auction Reverse Engineer,24HFA,VIDEO,KAJABI,,3,NO,,,Format + Upload
24HFA-M13,$100k Auction Reverse Engineer,24HFA,VIDEO,KAJABI,,3,NO,,,Format + Upload
2HC-M01,2nd Helping Campaigns,2HC,VIDEO,KAJABI,,3,YES,10,2026-04-25,Sheets sync only (already in Mr. A)
2PG-M04,04 How to Sell a Lot of Stuff Even if You Write Like a Sixth Grader,2PG,VIDEO,KAJABI,,3,YES,8,2026-04-25,Sheets sync only (already in Mr. A)
2PG-M05,Bonus Zoom Call,2PG,VIDEO,KAJABI,,3,YES,41,2026-04-25,Sheets sync only (already in Mr. A)
2PG-M06,The Content Cure G Doc Makeover,2PG,VIDEO,KAJABI,,3,YES,5,2026-04-25,Sheets sync only (already in Mr. A)
2PG-M07,Workshops That Sell G Doc Makeover,2PG,VIDEO,KAJABI,,3,YES,3,2026-04-25,Sheets sync only (already in Mr. A)
2PG-M08,Physical Product CASE STUDY $5000 a month REURRING with a SUPPLEMENT,2PG,VIDEO,KAJABI,,3,YES,12,2026-04-25,Sheets sync only (already in Mr. A)
2PG-M09,CASE STUDY_ 52 sales at $900 each ($43k) in 96 hours with 4 page Google Doc,2PG,VIDEO,KAJABI,,3,YES,6,2026-04-25,Sheets sync only (already in Mr. A)
2PG-M12,Sago Squeeze Bot Mojo Fuel-Up,2PG,VIDEO,KAJABI,,3,YES,4,2026-04-25,Sheets sync only (already in Mr. A)
3BP-M01,3 Boss Principles which replace neediness with BOLDNESS VIDEO,3BP,VIDEO,KAJABI,,3,NO,,,Format + Upload
3BP-M02,Are you making this positioning mistake?,3BP,VIDEO,KAJABI,,3,NO,,,Format + Upload
3W5K-M01,3 Ways to Make $5k in 5 Days,3W5K,VIDEO,KAJABI,,3,NO,,,Format + Upload
3W5K-M02,Pent-Up Demand Mojo and Cheat Code,3W5K,VIDEO,KAJABI,,3,YES,6,2026-04-25,Sheets sync only (already in Mr. A)
3W5K-M04,How to get contact info for niches,3W5K,VIDEO,KAJABI,,3,YES,1,2026-04-22,Sheets sync only (already in Mr. A)
3W5K-M06,LIVE EXAMPLE Get MAXIMUM response with CD3,3W5K,VIDEO,KAJABI,,3,NO,,,Format + Upload
3W5K-M07,Coffee Date Getting type_video You Can Use VIDEO,3W5K,VIDEO,KAJABI,,3,NO,,,Format + Upload
3W5K-M07.1,1. Send them straight to the Wistia page link_,3W5K,VIDEO,KAJABI,,3,YES,2,2026-04-25,Sheets sync only (already in Mr. A)
6DTT-M01,Navy 6-Step Troubleshooting Method Applied to Business,6DTT,VIDEO,KAJABI,,3,NO,,,Format + Upload
B2P-M03,Part 1_ How to Sell a Lot of Stuff Even if You Write Like a Sixth Grader,B2P,VIDEO,KAJABI,,3,YES,8,2026-04-25,Sheets sync only (already in Mr. A)
B2P-M04,Part 2_ How to Sign-up as an Affiliate & Getting Sales Material,B2P,VIDEO,KAJABI,,3,YES,2,2026-04-25,Sheets sync only (already in Mr. A)
B2P-M05,Part 3_ Q & A,B2P,VIDEO,KAJABI,,3,YES,17,2026-04-25,Sheets sync only (already in Mr. A)
BDTS-M09,Hamoon No Money Down,BDTS,VIDEO,KAJABI,,3,YES,9,2026-04-25,Sheets sync only (already in Mr. A)
BDTS-M13,The Dork Bus Intro-Fuelup,BDTS,VIDEO,KAJABI,,3,YES,3,2026-04-25,Sheets sync only (already in Mr. A)
BEAM-M03,Cold Outreach & Prospecting AMA,BEAM,VIDEO,KAJABI,,3,NO,,,Format + Upload
BEAM-M04,Don't Propose a Deal... Propose a Test,BEAM,VIDEO,KAJABI,,3,NO,,,Format + Upload
BEAM-M05,Beamer Pow Wow #2_ Partner Picking Mojo,BEAM,VIDEO,KAJABI,,3,NO,,,Format + Upload
BEAM-M06,Beamer Q and A,BEAM,VIDEO,KAJABI,,3,YES,41,2026-04-25,Sheets sync only (already in Mr. A)
BEAM-M07,Beamer Bonus Zoom Call,BEAM,VIDEO,KAJABI,,3,YES,51,2026-04-25,Sheets sync only (already in Mr. A)
BEAM-M08,"BEAMER Zoom Call - Inflation is here, YAY!",BEAM,VIDEO,KAJABI,,3,YES,42,2026-04-24,Sheets sync only (already in Mr. A)
BEAM-M09,Beamer POW WOW!,BEAM,VIDEO,KAJABI,,3,YES,26,2026-04-24,Sheets sync only (already in Mr. A)
BEAM-M10,READ FIRST_ Unblock Adobe Flash Player in Google Chrome,BEAM,VIDEO,KAJABI,,3,NO,,,Format + Upload
